[+] copy_from_user symbols: 224
[+] sweep done: 96819 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 645

===== 鏍″噯閿氱偣 =====
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 433 涓?=====
func                                           frame  imm      size     depth(s)
__arm64_sys_seccomp                            0x20   sp+0x0   0x4      0x020
__arm64_sys_signalfd4                          0x30   sp+0x0   arg2     0x030
__do_compat_sys_rt_sigsuspend                  0x40   sp+0x8   arg2     0x038
__arm64_compat_sys_rt_sigprocmask              0x40   sp+0x8   arg2     0x038
__arm64_sys_setrlimit                          0x40   sp+0x8   0x10     0x038
__do_sys_sendfile64                            0x40   sp+0x0   UNKNOWN  0x040
compat_restore_sigframe                        0x50   sp+0x8   arg2     0x048
__arm64_sys_epoll_ctl                          0x50   sp+0x8   arg2     0x048
__arm64_sys_rt_sigreturn                       0x50   sp+0x0   0x18     0x050
__arm64_sys_sigprocmask                        0x50   sp+0x0   0x8      0x050
__do_compat_sys_rt_sigaction                   0x90   sp+0x40  arg2     0x050
__arm64_sys_openat2                            0x50   sp+0x0   UNKNOWN  0x050
__do_sys_capset                                0x80   sp+0x20  UNKNOWN  0x060
__arm64_sys_timer_create                       0x70   sp+0x8   0x40     0x068
__do_sys_settimeofday                          0x80   sp+0x10  0x8      0x070
__arm64_sys_splice                             0x70   sp+0x0   UNKNOWN  0x070
__arm64_sys_splice                             0x70   sp+0x0   UNKNOWN  0x070
__arm64_sys_sched_setscheduler                 0x80   sp+0x8   0x4      0x078
__arm64_sys_select                             0x80   sp+0x0   0x10     0x080
__arm64_compat_sys_socketcall                  0x80   sp+0x0   UNKNOWN  0x080
seccomp_set_mode_filter                        0x70   sp+0x8   0x10     0x088
do_vfs_ioctl                                   0xa0   sp+0x18  0x20     0x088
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x088
do_vfs_ioctl                                   0xa0   sp+0x18  0x20     0x088
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x088
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x088
seccomp_set_mode_filter                        0x70   sp+0x0   0x8      0x090
do_fcntl                                       0xa0   sp+0x10  0x20     0x090
do_fcntl                                       0xa0   sp+0x10  0x20     0x090
__arm64_sys_io_uring_setup                     0xa0   sp+0x0   0x78     0x0a0
__arm64_compat_sys_rt_sigtimedwait_time64      0xf0   sp+0x48  0x10     0x0a8
__arm64_compat_sys_rt_sigtimedwait_time32      0xf0   sp+0x48  0x8      0x0a8
__arm64_compat_sys_rt_sigtimedwait_time64      0xf0   sp+0x40  arg2     0x0b0
__arm64_compat_sys_rt_sigtimedwait_time32      0xf0   sp+0x40  arg2     0x0b0
kcmp_epoll_target                              0x60   sp+0x8   arg2     0x0c8
io_submit_one                                  0x80   sp+0x8   0x40     0x0f8
sock_setsockopt                                0xa0   sp+0x20  0x4      0x100
sock_setsockopt                                0xa0   sp+0x20  0x8      0x100
sock_setsockopt                                0xa0   sp+0x20  0x8      0x100
sock_setsockopt                                0xa0   sp+0x18  0x8      0x108
sock_setsockopt                                0xa0   sp+0x14  0x4      0x10c
__sys_recvmsg                                  0x180  sp+0x70  0x1c     0x110
sock_setsockopt                                0xa0   sp+0x8   0x8      0x118
__sys_sendmsg                                  0x1b0  sp+0x70  0x1c     0x140
__arm64_sys_quotactl                           0x1b0  sp+0x50  0x48     0x160
__arm64_sys_quotactl                           0x1b0  sp+0x50  0x70     0x160
__arm64_sys_quotactl                           0x1b0  sp+0x50  0x1      0x160
__arm64_sys_quotactl                           0x1b0  sp+0x50  0x18     0x160
__do_sys_bpf                                   0x1b0  sp+0x48  UNKNOWN  0x168
do_recvmmsg                                    0x1d0  sp+0xa8  0x1c     0x188
copy_clone_args_from_user                      0xa0   sp+0x0   UNKNOWN  0x1a0
__sys_sendmmsg                                 0x260  sp+0x90  0x1c     0x1d0
keyctl_pkey_params_get_2                       0x70   sp+0x10  arg2     0x1f0, 0x1d0
bpf_iter_link_attach                           0x60   sp+0x8   UNKNOWN  0x208
prctl_set_package                              0x130  sp+0x18  UNKNOWN  0x2e8
compat_gpr_set                                 0x1c0  sp+0x4   UNKNOWN  
kvm_vm_ioctl                                   0xf0   sp+0x20  0x10     
kvm_vm_ioctl                                   0xf0   sp+0x0   0x20     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x18     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x8      
kvm_vm_ioctl                                   0xf0   sp+0x20  0x20     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x68     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x8      
kvm_vm_ioctl                                   0xf0   sp+0x20  0xc      
kvm_vm_ioctl                                   0xf0   sp+0x20  0x10     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x20     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x10     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x40     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x18  0x20     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x18  0x10     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x0   0x18     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x0   0x18     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x0   0x18     
kvm_arch_vcpu_ioctl                            0xa0   sp+0x18  0x8      
kvm_arch_vcpu_ioctl                            0xa0   sp+0x18  0x40     
kvm_arm_set_fw_reg                             0x30   sp+0x0   arg2     
kvm_arm_set_reg                                0x50   sp+0x8   UNKNOWN  
set_core_reg                                   0x60   sp+0x0   UNKNOWN  
set_sve_vls                                    0x70   sp+0x8   0x40     
set_id_reg                                     0x40   sp+0x0   0x8      
set_raz_id_reg                                 0x40   sp+0x0   0x8      
set_id_aa64pfr0_el1                            0x40   sp+0x0   0x8      
vgic_get_common_attr                           0x40   sp+0x0   arg2     
kvm_arm_pmu_v3_set_attr                        0xc0   sp+0x0   UNKNOWN  
ptrace_writedata                               0xf0   sp+0x8   UNKNOWN  
compat_ptrace_request                          0x100  sp+0x38  0x80     
set_compat_user_sigmask                        0x40   sp+0x8   arg2     
sched_feat_write                               0x90   sp+0x8   UNKNOWN  
psi_write                                      0x70   sp+0x18  UNKNOWN  
cpu_latency_qos_write                          0x30   sp+0x4   arg2     
write_profile                                  0x70   sp+0x4   arg2     
trace_options_write                            0xa0   sp+0x0   UNKNOWN  
trace_options_core_write                       0xa0   sp+0x0   UNKNOWN  
buffer_percent_write                           0x90   sp+0x0   UNKNOWN  
rb_simple_write                                0xa0   sp+0x0   UNKNOWN  
tracing_clock_write                            0x90   sp+0x8   UNKNOWN  
tracing_entries_write                          0xa0   sp+0x0   UNKNOWN  
tracing_saved_cmdlines_size_write              0x90   sp+0x0   UNKNOWN  
tracing_thresh_write                           0x90   sp+0x0   UNKNOWN  
event_enable_write                             0x90   sp+0x0   UNKNOWN  
system_enable_write                            0xa0   sp+0x0   UNKNOWN  
perf_event_query_prog_array                    0x70   sp+0x10  UNKNOWN  
perf_ioctl                                     0x100  sp+0x8   0x8      
vaudit_write                                   0xc0   sp+0x18  UNKNOWN  
binder_block_query_store                       0x40   sp+0x10  UNKNOWN  
uid_remove_write                               0xe0   sp+0x8   UNKNOWN  
top_exit_write                                 0xc0   sp+0x8   UNKNOWN  
mem_blocks_mb_write                            0xb0   sp+0x8   UNKNOWN  
block_ioctl                                    0x60   sp+0x8   arg2     
userfaultfd_api                                0x80   sp+0x10  0x18     
do_remove_key                                  0xf0   sp+0x10  0x40     
fscrypt_ioctl_set_policy                       0xd0   sp+0x28  UNKNOWN  
fsverity_ioctl_enable                          0x1a0  sp+0x38  0x80     
fsverity_ioctl_read_metadata                   0x80   sp+0x0   arg2     
timerslack_ns_write                            0xb0   sp+0x10  UNKNOWN  
proc_coredump_filter_write                     0x70   sp+0x0   UNKNOWN  
proc_loginuid_write                            0x70   sp+0x10  UNKNOWN  
oom_score_adj_write                            0x50   sp+0x8   UNKNOWN  
ext4_ioc_getfsmap                              0x1a0  sp+0x28  0xc0     
fat_generic_ioctl                              0x80   sp+0x10  UNKNOWN  
fuse_conn_congestion_threshold_write           0xc0   sp+0x10  UNKNOWN  
fuse_conn_max_background_write                 0xc0   sp+0x10  UNKNOWN  
fuse_conn_limit_write                          0xc0   sp+0x10  UNKNOWN  
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x58     
