[+] copy_from_user symbols: 224
[+] sweep done: 275382 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 1271

===== 鏍″噯閿氱偣 =====
__arm64_sys_sched_setaffinity  depth=0x040 (鏈熸湜 0x40) __arm64_sys_sched_setaffinity(0x40)
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 670 涓?=====
func                                           frame  imm      size     depth(s)
__arm64_sys_seccomp                            0x20   sp+0x0   0x4      0x020
__arm64_sys_clock_settime32                    0x40   sp+0x10  0x8      0x030
__arm64_compat_sys_old_select                  0x30   sp+0x0   0x14     0x030
__arm64_sys_signalfd4                          0x30   sp+0x0   arg2     0x030
__arm64_sys_signalfd                           0x30   sp+0x0   arg2     0x030
__arm64_compat_sys_signalfd4                   0x30   sp+0x0   arg2     0x030
__arm64_compat_sys_signalfd                    0x30   sp+0x0   arg2     0x030
__arm64_sys_rt_sigprocmask                     0x40   sp+0x8   0x8      0x038
__do_compat_sys_rt_sigsuspend                  0x40   sp+0x8   arg2     0x038
__arm64_compat_sys_rt_sigprocmask              0x40   sp+0x8   arg2     0x038
__arm64_sys_setrlimit                          0x40   sp+0x8   0x10     0x038
__arm64_sys_clock_settime                      0x50   sp+0x18  0x10     0x038
__arm64_compat_sys_setrlimit                   0x40   sp+0x0   0x8      0x040
__arm64_sys_sched_setaffinity                  0x40   sp+0x0   0x8      0x040
__arm64_sys_clock_nanosleep_time32             0x50   sp+0x10  0x8      0x040
__do_compat_sys_sendfile64                     0x40   sp+0x0   UNKNOWN  0x040
__arm64_sys_io_getevents_time32                0x50   sp+0x10  0x8      0x040
__do_sys_rt_sigsuspend                         0x40   sp+0x8   0x8      0x048
__arm64_sys_clock_nanosleep                    0x60   sp+0x18  0x10     0x048
__arm64_sys_epoll_ctl                          0x50   sp+0x8   arg2     0x048
__arm64_sys_io_getevents                       0x60   sp+0x18  0x10     0x048
__arm64_sys_rt_sigreturn                       0x50   sp+0x0   0x18     0x050
__arm64_sys_sigprocmask                        0x50   sp+0x0   0x8      0x050
__arm64_sys_sigaltstack                        0x70   sp+0x20  0x18     0x050
